"Составьте чек-лист для проведения smoke-тестирования плеера, используемого на сайте https://www.youtube.com",,,,
,,,,
Номер,Проверка,Тестовые данные,Ожидаемый результат,Статус
,Плеер отображен и доступен ,,,
1,"Плеер реагирует на нажатие кнопки  воспроизведения/паузы и 
видео начинает/останавливает свое воспроизведение ",,,
2,Видео начинается автоматически после загрузки  страницы,,,
3,Видео возобновляется с того же места,,,
4,"Время воспроизведения видео и ползунок  прокрутки обновляются 
в режиме реального времени ",,,
5,"Переключение между  различными качествами видео (480р, 720р, 
1080р) и  переключение происходит без  задержек",,,
6,"Перемотка видео вперед/назад с помощью  ползунка прокрутки 
или кнопок перемотки",,,
7,Изменение  громкости звука,,,
8,Настройки звука сохраняются после  перезагрузки страницы,,,
9,"Наличие полноэкранного режима  воспроизведения и его
перехода без ошибок",,,
10,"Отключение  автоматического  воспроизведения следующего видео 
после завершения  предыдущего",,,
11,Субтитры отображены в плеере (при их выборе),,,
12,"Добавление видео в ""Избранное""",,,
13,Проверка возможности делиться видео в социальных  сетях ,,,
14,"Поддержка функции ""Отчет о проблеме"" для обратной 
связи в плеере",,,
15,Регулировка скорости и воспроизведения видео,,,